osm_id,name,type
"230390209",,meadow
"230451659",Институт за заварување ЈУ,industrial
"230455448",,farmland
"230458348",,farmland
"230458349",,residential
"230468708",,industrial
"230468709",,farmland
"230468710",,landfill
"230468712",,meadow
"230468715",,landfill
"230468717",,meadow
"230468719",,farmland
"230468720",,industrial
"230468721",,farmland
"230468725",,meadow
"230468727",,meadow
"230468728",,farmland
"230468729",,farmland
"230468730",,residential
"230473037",,landfill
"230473038",,landfill
"230473039",,meadow
"230473040",,landfill
"230473042",,landfill
"230544941",,landfill
"230544944",,farmland
"230544946",,meadow
"230544947",,meadow
"230545364",,residential
"230547711",,farmland
"230550140",,meadow
"230551290",,farmland
"230551293",,farmland
"230551294",,farmland
"230551296",,farmland
"230551297",,farmland
"230551565",,farmland
"230553368",,farmland
"230554332",,meadow
"230554334",,meadow
"230554336",,industrial
"230554337",,meadow
"230554338",,farmland
"230555437",,farmland
"230555439",,meadow
"230555603",,farmland
"230556413",,meadow
"230556416",,meadow
"230556417",,meadow
"230556418",,farmland
"230556419",,meadow
"230557706",,meadow
"230557708",,meadow
"230681234",,farmland
"230684538",,farmland
"230684539",,meadow
"230767188",,meadow
"230767190",,meadow
"230767193",,industrial
"230767196",,meadow
"230767198",,meadow
"230767199",,meadow
"230767200",,meadow
"230767202",,farmland
"230767204",,farmland
"230769645",,meadow
"230769646",,meadow
"230769647",,farmland
"230769648",,farmland
"230772178",,meadow
"230774330",,farmland
"230774332",,farmland
"230797012",,residential
"230797014",,farmland
"230797016",,meadow
"230797017",,residential
"230797018",,residential
"230797020",,residential
"230797021",,meadow
"230805729",,meadow
"230805730",,meadow
"230805732",,farmland
"230805734",,meadow
"230805735",,farmland
"230805736",,farmland
"230805739",,meadow
"230806870",,meadow
"230806871",,meadow
"230806872",,meadow
"230810304",,meadow
"230810306",,meadow
"230810307",,meadow
"230810308",,farmland
"230810309",,farmland
"230810310",,meadow
"230810311",,farmland
"230810312",,farmland
"230810313",,meadow
