osm_id,name,type
"38001879",Law Office ILIEVSKI & JANCEVSKI,apartments
"38001880",,apartments
"38001881",,apartments
"38001882",,apartments
"38001884",,apartments
"38002594",,
"38002595",,
"38002601",,
"38002602",,
"38002603",,
"38002604",,
"38002605",,
"38002606",,
"38002607",,
"38002608",,
"38002609",Три Бисери,
"38002610",,
"38002611",,
"38003194",,
"38003195",,
"38003197",,
"38003209",,
"38003211",,
"38003215",,
"38003218",,
"38003221",,
"38003224",,
"38003227",,
"38003228",,
"38003230",,
"38003235",,
"38003238",,
"38003245",,
"38003248",,
"38003250",,
"38003253",,
"38003256",,
"38003259",,
"38003263",,
"38003266",,
"38003270",,
"38003271",,
"38003574",,
"38003575",,
"38003576",,residential
"38003578",,
"38003579",,
"38003581",,
"38003582",,residential
"38003585",,
"38003587",,
"38004409",,
"38004411",,
"38004413",,
"38004414",,
"38004416",,
"38004418",,
"38004419",,
"38004420",,
"38004421",,
"38004422",,
"38004423",,
"38004424",,
"38004425",,
"38004426",,
"38004427",,
"38004428",,
"38004429",,
"38004430",,
"38004436",,
"38004437",,
"38004438",,
"38004440",,
"38004441",,
"38004442",,
"38004443",,
"38004444",,
"38004445",,
"38004446",,
"38004470",,
"38004471",,
"38004472",,
"38004473",,
"38004474",,
"38004475",,
"38004599",,
"38004600",,
"38004601",,
"38004665",,
"38004666",ПроКредит,
"38004667",,
"38004668",,
"38004669",,
"38006379",DHL,
"38006381",,
"38006382",,
"38006383",,
"38006384",,
"38060210",,
"38060211",,apartments
"38060367",,
"38060368",Млечен ресторан Коки,
"38060369",,
"38081109",,
"38081114",КЈУБИ,
"38081115",,
"38081116",,
"38081117",Економски институт - Скопј,university
"38081361",,apartments
"38081362",,apartments
"38081366",,
"38081369",Алгоритам,roof
"38081653",,apartments
"38082534",Министерство за економија,public
"38082536",,
"38082537",,
"38082538",,
"38082539",,
"38082540",,
"38082541",,
"38082542",,
"38082545",,
"38082546",Рес Хумана ординација,hospital
"38082547",,apartments
"38082549",,residential
"38082550",,apartments
"38082553",,
"38082899",,
"38084105",,
"38084121",,
"38084127",,
"38084128",,
"38085190",,
"38085191",,
"38085208","Anima DOOEL, Skopje",
"38085209",Korni - DPT Skopje Корни - ДПТ Скоп,
"38085210",,
"38085211",LPR mak,
"38085212",,
"38085213",Канапе,
"38085233",Карат,
"38085234",Мако маркет,
"38085235",GEING Krebs und Kiefer International,commercial
"38093016",ЈУ Дом за деца без родител,
"38093018",Орифлеим,
"38093021",,
"38093022",,apartments
"38093023",,apartments
"38093024",,
"38093025",,
"38093026",,
"38093027",Алкотека,apartments
"38093029",,apartments
"38093031",,apartments
"38093032",,apartments
"38093037",Custom Pub,pub
"38093038",,
"38093039",,apartments
"38093041",,apartments
"38093042",,
"38093043",,
"38093360",Mr.Bricolage,retail
"38093363",Бонум,
"38093364",,
"38093368",,
"38093369",,
"38093370",,
"38106080",,apartments
"38106081",,apartments
"38106140",,apartments
"38106142",,apartments
"38106301",,apartments
"38106824",,
"38106825",,
"38106827",,
"38107826",,apartments
"38253370",,
"38253966",,
"38765140",Католичка  црква,church
"38771359",,
"39301457",,
"39301458",,
"39301459",,
"39301460",,
"39301461",,
"39301462",,
"39301463",,
"39301464",,
"39301465",,
"39301466",,
"39301467",,
"39301468",,
"39301469",,
"39301470",,
"39301471",,
"39301472",,
"39301473",,
"39301482",,
"39301483",,
"39301484",,
"39301485",,
"39301486",,
"39301487",,
"39301488",,
"39301489",,
"39301490",,
"39301491",,
"39301492",,
"39301493",,
"39301494",,
"39301495",,
"39301497",Детска амбасада Меѓаши,
"39306995",,
"39992008",Gradinka,kindergarten
"40010240",Вучко,
"40012289",Трансфузија,hospital
"40012337",Министерство за здравство,
"40012372",,
"40012373",,
"40012895",,
"40148206",,
"40212437",,
"40552036",,
"40839902",,
"43723187",Хотел Јадран,hotel
"43736311",ЕВН Македонија,office
"44026574",Султан Муратова џамија,mosque
"44038503",Саат-кула,attraction
"44038732",Иса-бегова џамија,mosque
"44038943",Алаџа-џамија,mosque
"44039295",Јаја-пашина џамија,mosque
"44660204",,
"45421428",,
"45421432",,
"45421437",Стара стела,
"53207893",,
"53207990",,
"53724725",,
"53724734",,
"53724739",,
"53724741",,
"56693926",Тојота,retail
"56693927",Симфони солушнс,
"56693928",Алфа Ромео,retail
"56693929",Рено,retail
"56694205",Хонда Македонија,
"56695185",Стара Мазда - Скупи 12,retail
"56695187",Фиат,retail
"56695194",Цитроен,retail
"58912769",Dilayla,commercial
"65765874",,
"65765884",,
"65765891",,
"65765900",,
"65765907",,
"65765916",,
"65765928",,
"65765956",,
"65765989",,
"65765999",,
"65766010",,
"65766018",,
"65766037",,
"65766051",,
"65766056",,
"65766068",,
"65766076",,
"65766085",,
"65766101",,
"65766115",,
"65766131",,
"65766143",,
"65766157",,
"65766170",,
"65766182",,
"65766204",,
"65766215",,
"65766224",,
"65766231",,
"65766242",,
"66769907",,
"66769908",,
"66769909",,
"66769910",,
"66769911",,
"71155117",Центар за катастар на недв,office
"75602006",ВЕРО Центар,commercial
"76449217",,
"76449218",,
"76449221",,
"76449223",,
"76449224",,
"76449228",,
"76449623",,
"76449627",,
"76449637",,
"76449638",,
"76449655",,
"76449657",,
"76449666",,
"76449668",,
"76449671",,
"78205835",Гео Институт,public
"79471820",,
"79471822",,
"79471823",,
"79989330",,
"79989333",,
"79989347",,
"79989349",,
"79989357",,
"79989359",,
"79989368",,
"79989373",,
"79989375",,
"82508261",РЖ Управна зграда,
"82513219",,
"82513232",,
"83156946",,
"83157283",,
"83157523",,
"83703273",,
"103474771",,apartments
"103474826",,apartments
"103474834",,apartments
"103474856",,apartments
"103474956",,apartments
"103475066",,apartments
"103475112",,apartments
"120104222",,
"120104677",,
"120104678",,
"120104679",,
"120104680",,
"120104681",,
"120104682",,
"120104683",,
"120104684",,
"120104685",,
"120104687",,
"120104688",,
"120104689",,
"120104690",,
"120104879",,
"120108257",,
"120635003",,
"120635005",,
"120635006",,
"120635008",,
"120635010",,
"120635012",,
"120635013",,
"120636364",,
"120636366",,
"120636369",,post_office
"120636370",,
"120636374",,
"120636376",,
"120636377",,
"120655904",,
"120655905",,
"120656004",,
"120656023",,
"120656727",ДМ,
"120663092",,
"120663094",,
"120664963",,
"120664965",,
"120665941",,
"120665942",,
"120665943",,
"120665944",,
"120974473",Кам Маркет,
"120978440",Прототип,industrial
"120978936",Дизајн Фантазија,industrial
"120981839",Слаткарница Апче,
"121086248",,
"121086899",,
"121088155",,apartments
"121088157",,
"121088161",,apartments
"121088162",,apartments
"121088163",,apartments
"121097365",,apartments
"121098208",,
"121099461",,
"121099462",,
"121099463",,
"121099464",,
"121101090",NextSense,
"121146356",,apartments
"121153169",,
"121167687",,
"121167689",,
"121167691",Градинка Мирче Ацев,
"121167692",,
"121167693",,
"121167695",,
"121167697",,
"121167698",,
"121167699",,
"121176934",,
"121176935",,house
"121218115",Старечки дом Мајка Тереза,
"121219855",,
"121219857",,
"121219858",,
"121219859",,apartments
"121219862",,
"121219863",,
"121219864",,
"121219865",,
"121219866",,
"121219867",,
"121219868",,apartments
"121219869",,apartments
"121219870",,apartments
"121219871",,apartments
"121219872",,apartments
"121219873",,apartments
"121219874",,
"121220894",,residential
"121220895",,residential
"121220897",,residential
"121220898",,
"121220899",,residential
"121220900",,apartments
"121220902",,apartments
"121220903",,
"121220906",,apartments
"121220907",,residential
"121220909",,apartments
"121220910",,residential
"121220911",,residential
"121220913",,
"121220914",,apartments
"121220915",,
"121220916",,residential
"121220917",,apartments
"121220918",,residential
"121220919",,apartments
"121220920",,
"121390892",Ресторан 2 Златника,restaurant
"121391784",,
"121401143",,
"121401144",,office
"121401145",,
"121401146",,
"121401147",Драгстор Бети,
"121401873",,office
"121401877",,
"121511375",,
"121511376",,
"121511377",,
"121511378",,
"121511379",Керпич,restaurant
"121511380",,
"121511381",,
"121511382",,
"121511383",,
"121511384",,
"121511385",,
"121511386",,
"121511387",,
"121511388",,
"121511389",,
"121511390",,
"121511391",,
"121511392",,
"121511393",,
"121511394",Вап Мак,commercial
"121511395",,
"121511396",,
"121511397",,
"121511398",,
"121511399",,apartments
"121511400",Дане,restaurant
"121511401",,
"121511402",,
"121511786",,
"121511787",,
"121511788",,
"121511791",,
"121511792",,
"121511793",Бугарија,office
"121511796",,
"121511797",,
"121511798",Хотел Мола,hotel
"121511799",,
"121511800",,
"121511801",,
"121511802",,
"121511803",,
"121511804",,
"121511805",,
"121511806",,
"121511807",Црна Гора,office
"121511808",,
"121511809",,
"121511810",,
"121511811",,
"121511812",,
"121511813",,
"121511814",,
"121511815",Ка,restaurant
"121511816",,
"121511817",Ѓезме,restaurant
"121511818",,
"121511819",,
"121511820",,
"121511821",,
"121511822",,
"121511823",,
"121511824",,
"121511825",,
"121511826",,
"121511827",Слаткарница Перфето,
"121511829",,
"121511830",,apartments
"121511831",,
"121511832",,
"121511833",,
"121511834",,
"121511835",,
"121511836",,
"121511837",,
"121511838",,
"121511839",,
"121511840",,
"121511841",,
"121511842",,
"121511843",,
"121511844",,
"121511845",,
"121511846",,
"121512122",,
"121512123",,
"121512124",,
"121512125",,
"121512126",,
"121512127",,
"121512128",,
"121512129",,
"121512130",,
"121512131",,
"121512132",,
"121512133",,
"121512134",,
"121512135",,
"121512578",,apartments
"121512579",,
"121512580",,
"121512581",Rose Diplomatique,hotel
"121512582",,
"121512583",,
"121512585",,
"121512586",,
"121512587",,
"121512588",,
"121512589",,
"121512590",,
"121512591",,
"121512592",,apartments
"121512593",,
"121512594",,apartments
"121512595",,
"121512597",,
"121512598",,apartments
"121512599",,
"121512600",,
"121512601",,
"121512602",,
"121512603",,
"121512604",,
"121512605",,
"121512606",,
"121512607",,apartments
"121512608",,
"121512609",,
"121512610",,
"121512612",,apartments
"121512613",,apartments
"121512614",,
"121513041",,
"121513042",,
"121513043",,
"121513044",,
"121513045",,
"121513046",,
"121513047",,
"121513048",,
"121513049",,
"121513050",,
"121513051",,
"121513052",,
"121513053",,
"121513054",,
"121513055",,
"121513056",,
"121513057",,
"121513058",,
"121513059",,
"121513060",,
"121513061",,
"121513062",,
"121513063",,
"121513064",,
