osm_id,name,ref,type,oneway,bridge,maxspeed
"26791859",Хелсинки,,residential,"0","0",
"26791865",Манапо,,tertiary,"1","0","50"
"26791907",Бледски Договор,,tertiary,"0","0",
"26791908",Карпошево Востание,,tertiary,"1","0","30"
"26791917",Никола Русински,,tertiary,"1","0","30"
"26791927",Булевар Илинден,,secondary,"1","0","50"
"27594935",Атинска,,residential,"1","0",
"27594957",Алжирска,,service,"0","0",
"27800829",Џон Кенеди,,secondary,"0","0",
"27837313",Ванчо Мицков,,residential,"0","0",
"27837534",Ванчо Мицков,,residential,"0","0",
"27837536",Ванчо Мицков,,residential,"0","0",
"27837595",Ванчо Мицков,,residential,"0","0",
"27838081",,,footway,"0","0",
"27955300",Христо Татарчев 17,,residential,"0","0",
"27955314",Христо Татарчев,R2134,secondary,"0","0",
"28163464",Демир Трајко,,residential,"0","0",
"28163489",Демир Трајко,,pedestrian,"0","0",
"28212408",Волгоградска,,residential,"1","0","30"
"28212410",Вич,,residential,"0","0",
"28212426",Соле Стојчев,,residential,"1","0",
"28213323",,,service,"0","0",
"28213364",,,service,"1","0",
"28213519",Питу Гули,,residential,"0","0",
"28213597",Ганчо Хаџипанзов,"955",residential,"0","0",
"28213808",,,service,"0","0",
"28213946",Партениј Зографски,,residential,"1","0",
"28213952",Ацо Караманов,,residential,"0","0",
"28214212",,,footway,"0","0",
"28214779",Мирослав Крлежа,,residential,"1","0",
"28214784",,,footway,"0","0",
"28214865",Наум Наумовски Борче,,residential,"0","0","30"
"28214887",,,service,"0","0",
"28214896",,,service,"0","0",
"28215109",Вич,,residential,"0","0",
"28215157",Желево,,residential,"1","0","30"
"28217552",Козара,,residential,"1","0",
"28217777",Јуриј Гагарин,,service,"0","0",
"28217802",Козара,,residential,"1","0",
"28217850",,,residential,"0","0",
"28217870",,,residential,"0","0",
"28217914",Стокхолмска,,residential,"0","0",
"28217959",,,living_street,"0","0",
"28217980",Дамаска,,residential,"0","0","30"
"28217983",Дамаска,,residential,"0","0","30"
"28219897",,,footway,"0","0",
"28220632",Славеј Планина,,residential,"0","0",
"28220657",Самоилова,,residential,"0","0",
"28220706",Благоја Стефковски,,secondary,"1","0",
"28220731",Методија Андонов Ченто,R1102,secondary,"1","0",
"28220776",Перо Наков,,tertiary,"0","0",
"28220850",Париска Комуна,,residential,"0","0","30"
"28221299",Лазар Личеноски,,tertiary,"0","0",
"28221340",Македонско-Косовска Брига,,secondary,"0","0",
"28231677",Воденска,,residential,"1","0",
"28231706",Воденска,,service,"0","0",
"28231711",Невеска,,residential,"1","0",
"28231713",,,service,"0","0",
"28231714",,,service,"0","0",
"28231715",,,service,"0","0",
"28253020",,,service,"0","0",
"28262310",Мајка Тереза,A2,motorway,"1","0","100"
"28266739",,,service,"0","0",
"28266744",,,service,"0","0",
"28333431",,,footway,"0","0",
"28335110",Мајка Тереза,A2,motorway,"1","0","100"
"28652711",Стив Наумов,,residential,"0","0",
"28652721",Славе Георгиевски Шнајдер,,service,"0","0",
"28652723",,,service,"0","0",
"28652818",,,service,"0","0",
"28826113",Мирче Ацев,,tertiary,"0","0",
"28826121",,,service,"0","0",
"28826135",Коле Неделковски,"236",residential,"0","0",
"29221637",,,motorway_link,"1","0",
"29221647",,,motorway_link,"1","0",
"29230815",,,primary_link,"1","0","50"
"29230877",Владимир Комаров,,tertiary,"0","0",
"29231572",,,secondary,"0","0","50"
"29231722",Булевар Асном,,residential,"0","0","30"
"29231723",,,footway,"0","0",
"29231758",Васко Карангелески,,residential,"0","0",
"29231790",,,residential,"0","0","30"
"29231793",,,residential,"0","0",
"29231962",3. Македонска Бригада,SK-05,secondary,"1","0","50"
"29233627",Мајка Тереза,A2,motorway,"1","0","120"
"29233660",Мајка Тереза,A2,motorway,"1","0","120"
"29468137",Св. Кирил и Методиј,,secondary,"1","0","50"
"29468213",Југославија / Никола Карев,SK-01,primary,"1","0","50"
"29468214",Југославија / Никола Карев,SK-01,primary,"1","0","50"
"29687973",Црногорска,,residential,"0","0",
"29688066",Арсениј Јовков,,residential,"0","0",
"29989539",11 Октомври,,residential,"0","0",
"30003408",Киро Глигоров,SK-02,primary,"1","0","60"
"30086688",Филип Втори Македонски,,secondary,"0","0","50"
"30086750",Јорганџиска,,pedestrian,"0","0",
"30086754",Булевар ВМРО,,primary,"1","0","50"
"30086859",Разловечко Востание,,residential,"1","0","30"
"30087011",,,service,"0","0",
"30087016",,,service,"0","0",
"30087145",Ѓуро Ѓоновиќ,,residential,"0","0",
"30095459",Миле Поп Јорданов,,residential,"0","0",
"30161992",Разлошка,,residential,"0","0",
"30162023",Палмиро Тољати,,residential,"0","0",
"30162044",Јани Лукровски,,residential,"0","0","30"
"30162049",,,service,"0","0","30"
"31278492",Максим Горки,,residential,"1","0",
"31278495",,,pedestrian,"0","0",
"31278519",Македонија,,pedestrian,"0","0",
"31278528",Велосипедска патека Кеј,,cycleway,"0","0",
"31780965",Лазар Трпoвски,,tertiary,"0","0",
"31780966",Серава,,residential,"0","0",
"31880220",Пушкинова,,residential,"0","0",
"31897673",Гемиџиска,,residential,"0","0","30"
"31907908",Коце Металец,,service,"0","0",
"31964724",Елисие Поповски Марко,"265",residential,"0","0",
"32252617",Петар Чаулев,,residential,"0","0",
"32252655",Иван Цанкар,,residential,"0","0",
"32252678",Францe Прешерн,,residential,"0","0",
"32252688",,,residential,"0","0",
"32252701",Петар Чајковски,,residential,"0","0",
"32252768",Есперанто,"1231",residential,"0","0",
"32252794",,,residential,"0","0",
"32252813",Кленоец,,residential,"0","0",
"32297665",Влае,,residential,"0","0",
"32297680",Франце Прешерн,,residential,"0","0",
"32297693",Франц Прешерн,,residential,"0","0",
"32297706",Франц Прешерн,,residential,"0","0",
"32297714",Францe Прешерн,,residential,"0","0",
"32297729",Драгутин Аврамовски Гуте,,residential,"0","0",
"32297742",,,residential,"0","0",
"32297749",,,residential,"0","0",
"32297762",Драгутин Аврамовски Гуте,,residential,"0","0",
"32297770",Францe Прешерн,,residential,"0","0",
"32297777",Франце Прешерн,,residential,"0","0",
"32298243",Лука Геров,,tertiary,"0","0",
"32298343",Иван Цанкар,,residential,"0","0",
"32298349",Иван Цанкар,,residential,"0","0",
"32298353",Иван Цанкар,,residential,"0","0",
"32298382",,,residential,"0","0",
"32298535",Иван Цанкар,,residential,"0","0",
"32298602",Блаже Биринчето,,residential,"0","0",
"32298625",Иван Цанкар,,residential,"0","0",
"32298899",Ринхини,,residential,"0","0",
"32298903",Езерци,,residential,"0","0",
"32301887",Мраморец,,residential,"0","0",
"32301901",Мраморец,,residential,"0","0",
"32301915",Ботун,,residential,"0","0",
"32301924",Белчишка,,residential,"0","0",
"32302261",Воин Драшковиќ,,residential,"0","0",
"32302344",,,residential,"0","0",
"32302351",Александар Муртукулов,,residential,"0","0",
"32302362",Панко Брашнаров,,residential,"0","0",
"32302377",Крсте Гермов Шакир,,residential,"0","0",
"32302394",Тодор Циповски Мерџан,,residential,"0","0",
"32302403",Тодор Циповски Мерџан,,residential,"0","0",
"32302424",Кичевска,,tertiary,"0","0",
"32302440",Манчу Матак,,residential,"0","0",
"32302446",Ибе Паликуќа,,residential,"0","0",
"32302491",Зејнел Ајдини,,residential,"0","0",
"32302509",Ибе Паликуќа,,residential,"0","0",
"32302519","1283",,residential,"0","0",
"32302524",Мавровска,,residential,"0","0",
"32302535",Исаија Мажовски,,residential,"0","0",
"32302547",Браќа Галеви,,residential,"0","0",
"32302590",Веле Марков,,tertiary,"0","0",
"32302681",Лихнида,,residential,"0","0",
"32338344",,,footway,"0","0",
"32338692",Исаија Мажовски,,residential,"0","0",
"32397498",Злате Михајловски,,residential,"0","0",
"32463026",,,service,"0","0",
"32463032",,,service,"0","0",
"32463182",,,service,"1","0",
"32463342",,,unclassified,"0","0",
"32485444",,,footway,"0","0",
"32485454",,,footway,"0","1",
"32485539",Никола Парапунов,,residential,"0","0","30"
"32485542",Никола Парапунов,,service,"0","0",
"32485582",,,residential,"0","0",
"32485605",,,track,"0","0",
"32485644",,,pedestrian,"0","0",
"32485651",,,pedestrian,"0","0",
"32485652",,,pedestrian,"0","0",
"32485659",Франц Розман,,residential,"0","0",
"32490146",,,service,"0","0",
"32490154",,,service,"0","0",
"32490180",,,service,"0","0",
"32490183",,,service,"1","0",
"32490185",,,service,"0","0",
"32490587",,,footway,"0","0",
"32490614",,,footway,"0","0",
"32530202",,,service,"0","0",
"32530420",,,service,"0","0",
"32530470",Миладин Поповиќ,,residential,"0","0",
"32530473",Драган Ѓаконовски Шпато,,residential,"0","0",
"32530479","507",,residential,"0","0",
"32530499",Јуриј Гагарин,,residential,"0","0",
"32530572",Козара,,residential,"0","0",
"32530576",Антон Панов,,residential,"1","0",
"32530875",,,service,"1","0",
"32559964",Рилски Конгрес,,residential,"0","0","30"
"32560016",Тасино Чешмиче,,residential,"1","0","40"
"32560029",Димитар Беровски,"743",residential,"0","0",
"32560053",Востаничка,,residential,"0","0",
"32560123",Димо Хаџи Димов,,residential,"0","0",
"32560154","552",,residential,"1","0",
"32560276",Благоја Гојан,,residential,"0","0",
"32560279",Кавалска,,residential,"0","0",
"32560281",Стрмашево,,residential,"0","0",
"32560298",Милан Мијалковиќ,,tertiary,"0","0",
"32560300",Мавровска,,residential,"0","0",
"32560313",Банско,,residential,"0","0",
"32560351",Жванска,,residential,"0","0",
"32560359",Баница,,residential,"1","0",
"32560417",Борка Талевски,,residential,"0","0","20"
"32560418",Багдадска,,residential,"1","0",
"32560427",Багдадска,,residential,"0","0",
"32560447",Ристо Равановски,,residential,"0","0",
"32560461",Рампо Левката,,service,"0","0","40"
"32560465",Њуделхиска,,residential,"0","0",
"32560643",Леринска,,residential,"0","0",
"32560819",Шарпланинска,,residential,"0","0","50"
"32560822",Пекљане,,residential,"0","0",
"32560827",Бертранд Расел,,residential,"0","0",
"32560839",Борис Бојаџиски,,residential,"0","0",
"32560841",Арсо Мицков,,residential,"0","0",
"32560905",Дамовски-ошенски,,residential,"0","0",
"32560907",Антон Чехов,,residential,"0","0",
"32560910",Пелинце,,residential,"0","0",
"32560926",,,unclassified,"0","0",
